job_id,job_name,trial_name,base_group,harness,model,status,resolved,input_tokens,output_tokens,cost_usd,duration_seconds,reason
25b3305f157b,swebenchpro claude-code glm-5.2 errored/unrun rerun (rerun),instance_ansible__ansible-9759e0__XLSsEDr,instance_ansible__ansible-9759e0,claude-code,subconscious/glm-5.2,pending,,,,,,trial never started and has no archived result or efficiency metrics
25b3305f157b,swebenchpro claude-code glm-5.2 errored/unrun rerun (rerun),instance_gravitational__teleport__mMCyQSn,instance_gravitational__teleport,claude-code,subconscious/glm-5.2,pending,,,,,,trial never started and has no archived result or efficiency metrics
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__2pp9kTF,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1387889,8678,0.241,831.9,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__59VzyJq,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1099810,26551,0.2489,744.8,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__6amxynj,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1161391,10533,0.2117,386.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__75Rvsaq,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1049680,7697,0.186,346.1,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__9dvEqdJ,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1866319,13835,0.33,947.4,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__EpUJRkT,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,333071,3325,0.0625,400.6,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__GLdwGzr,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,634700,4829,0.1176,895.9,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__HQnDBMC,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,440002,4009,0.0811,185.1,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__HZ4ySKS,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,2833896,33887,0.5442,931.4,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__J6u3xM3,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,616818,8802,0.1222,475.1,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__Jn6xMPg,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1615877,14063,0.2925,629.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__LRp5x8i,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,830377,6218,0.1473,338.6,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__M3fLgPz,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1381409,11892,0.2491,797.2,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__PEQymWV,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1048933,11802,0.1972,523.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__QZkGQtj,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1754035,14558,0.3152,576.5,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__Qv3ZKTK,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,2055131,14429,0.3611,504.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__RtuqcJV,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,807567,8994,0.153,380.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__UPRNMir,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1368756,9824,0.2433,447.4,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__V7RDJyG,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,2052453,15113,0.3641,589.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__VCjNKda,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1486627,15406,0.275,515.7,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__Vrzbben,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,979293,7876,0.1748,348,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__WKAHy7n,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,1613971,18100,0.3043,536.5,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__WULSuoZ,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,False,326782,11230,0.0868,810.3,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__Xp3RQrD,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,809027,5845,0.1427,327.4,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__YPZoAJX,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,514811,8364,0.1053,390,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__YwaoWqQ,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,1100820,7783,0.1938,388.4,legacy artifact unavailable; repeated base group prevents exact issue mapping
2f58c5373fa6,bench-runs_swebenchpro-tim-qwen27b-v2_bench-swebenchpro-tim-qwen27b-v2,instance_element-hq__element-web__ZHLUHCQ,instance_element-hq__element-web,mini-swe-agent,subconscious/tim-qwen3.6-27b,completed,True,2989460,13347,0.5013,575.1,legacy artifact unavailable; repeated base group prevents exact issue mapping
